file_name	seed	formula_x	formula_y
2021-04-11-13-42_seed_1491.png	1491	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-43_seed_6194.png	6194	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-43_seed_2049.png	2049	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-43_seed_6564.png	6564	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-43_seed_7984.png	7984	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-43_seed_3988.png	3988	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-45_seed_5802.png	5802	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-45_seed_2298.png	2298	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-45_seed_6313.png	6313	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-45_seed_6304.png	6304	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-45_seed_2731.png	2731	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-46_seed_621.png	621	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2021-04-11-13-46_seed_5633.png	5633	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
